协议名称,id,产品构成,产品构成-支持的桥协议 副本
不连接,-1,,"Yeelight Cube smart desk lamp,Ray 桌面氛围塔灯 matter方案，接入Yeelight Station,matter版幻彩灯带，接入Yeelight Station,【正式版】Ray 桌面氛围塔灯 matter方案，接入Yeelight Station1"
直连,0,,"Yeelight Pro S20 蓝牙Mesh网关,Yeelight ProS20 新网关,6.9寸智慧屏,DALI网关"
mesh协议,1,"Yeelight Pro S20 蓝牙Mesh网关,Yeelight ProS20 新网关,6.9寸智慧屏","Yeelight 青空灯,亮度灯通用固件 - 拨码开关版,Yeelight Pro P20 青空灯,商照色温mesh插电筒灯,商照色温mesh插电筒灯(冷暖),商照色温mesh插电灯带,色温mesh插电筒灯,擎洲亮度色温灯,Yeelight 商照 JFMY 方形 嵌入式防眩射灯,万耐特冷暖色温灯,兆驰亮度色温灯,色温筒射灯电源,色温筒射灯电源(冷暖),Yeelight Pro S20 色温灯带,Yeelight Pro S20 蓝牙Mesh球泡,Yeelight Pro 商照 智能调光调色矿棉板面板灯,Yeelight Pro M20 嵌入式筒灯,Yeleight Pro M20 球泡灯,Yeelight Pro S20 面板灯 3030,色温灯通用固件 - CW,色温灯通用固件 - 拨码开关版,色温灯通用固件,Yeelight商照X系列智能橱柜灯电源,青空灯,Yeelight Pro 商照 低压彩光灯带智能DCDC模块120W,色彩灯通用固件 - RGBW,Yeelight Pro S20 窗帘电机,YL-商照-智能卷帘电机,Yeelight Pro S20 双路控制模块（MESH版）,自回弹虚拟双路开关,Yeelight Pro S21 VRF空调温控器,Yeelight Pro S21 智能墙壁开关-单键,Yeelight Pro S21 智能墙壁开关-双键,Yeelight Pro S21 智能墙壁开关-三键,Yeelight商业M系列智能复合开关-单键,Yeelight商业M系列智能复合开关-双键,Yeelight商业M系列智能复合开关-三键,Yeelight Pro M20 智能开关-三键,Yeelight Pro M20 智能开关-双键,Yeelight Pro M20 智能开关-单键,Yeelight Pro E20 智能开关,E系列单火智能开关-单键,E系列单火智能开关-双键,E系列单火智能开关-三键,E系列零火智能开关-单键,E系列零火智能开关-双键,E系列零火智能开关-三键,Yeelight Pro P20 数字变焦射灯 3寸,Yeelight商业X系列空调温控器,商照Q系列空调温控器,屏幕控制面板mesh版,P20全景屏,字节跳动升降桌,Yeelight Pro S系列梦幻窗帘电机,S系列情景开关,S系列墙面旋钮屏开关,Yeelight Pro S20系列8键情景开关(单火版),Yeelight商业Q系列智能情景开关-三键,Yeelight商业Q系列智能情景开关-双键,Yeelight商业Q系列智能情景开关-单键,Yeelight Pro S21 智能情景开关-六键,Yeelight商业Q系列智能情景开关-四键,Yeelight Pro干接点输入模块,E20智能情景面板-六键(零火版),Yeelight Pro S20系列8键情景开关(贴装版),Yeelight Pro S20系列4键情景开关(贴装版),E20智能情景面板-六键(纽扣电池版）,擎洲人体传感器,Yeelight Pro S20 人体传感器,Yeelight Pro P20 人在传感器,Yeelight商业Q系列智能插卡取电器（低频）,Yeelight Pro S20 门窗传感器,Yeelight Pro M20 旋钮开关,Yeelight Pro S21 人体红外传感器,环境光传感器,E系列旋钮开关,迈睿人在光照度传感器,Yeelight Pro S21 全面屏开关,浴霸,亮度灯通用固件 - 拨码遥控版,亮度灯固件-DC模块,单亮度灯,色温灯固件-DC模块,色温灯通用固件 - 拨码遥控版,色彩灯固件-DC模块-RGB,色彩灯固件-DC模块-WRGB,色彩灯固件-DC模块-CWRGB"
matter协议,2,6.9寸智慧屏,NFC色温灯固件
dali协议,3,DALI网关,"dali开关灯,dali亮度灯,dali色温灯,dali输入设备"
thread协议,4,,
