属性名称,缩写,全称,数据类型,描述,重置是否需要清除,id,类别,权限,处理方,备注,组件,父记录
fade_rate,fade_rate,fade_rate,int,渐变步长,清除,294,配置类,"读, 写",网关,,dali灯组件,
dim_curve,dim_curve,dim_curve,int,功率亮度曲线：0表示对数函数，1表示线性函数,清除,295,配置类,"读, 写",网关,,dali灯组件,
dev_alarm,dev_alarm,dev_alarm,int,设备异常告警信息 具体内容网关自行设置,清除,296,配置类,"读, 写",网关,,"基础组件,dali组件",
gtin,gtin,gtin,int,gtin,清除,297,配置类,"读, 写",网关,,dali组件,
ddt,ddt,ddt,string,dali dt,清除,298,配置类,"读, 写",网关,,dali灯组件,
ap,ap,active_power,int64,有功功率,,299,应用类,"读, 写",网关,,dali能量组件,
ae,ae,active_energy,int64,总有功,,300,应用类,"读, 写",网关,,dali能量组件,
ot,ot,operating_time,int,系统运行时间 单位秒,,301,应用类,"读, 写",网关,,dali能量组件,
sys_s,sys_s,system_starts,int,系统启动次数,,302,应用类,"读, 写",网关,,dali能量组件,
esv,esv,external_supply_voltage,int,供电电压 单位0.1V,,303,应用类,"读, 写",网关,,dali能量组件,
esvf,esvf,external_supply_voltage_frequency,int,供电电压频率 单位Hz,,304,应用类,"读, 写",网关,,dali能量组件,
temp,temp,temperature,int,温度,,305,应用类,"读, 写",网关,,dali能量组件,
ocp,ocp,output_current_percent,int,输出电流百分比,,306,应用类,"读, 写",网关,,dali能量组件,
lsot,lsot,light_source_on_time,int,开灯时长 单位秒,,307,应用类,"读, 写",网关,,dali能量组件,
lsv,lsv,light_source_voltage,int,输出电压 单位0.1V,,308,应用类,"读, 写",网关,,dali能量组件,
lsc,lsc,light_source_current,int,输出电流 单位mA,,309,应用类,"读, 写",网关,,dali能量组件,
dver,dver,dver,int,DALI版本,,310,应用类,"读, 写",网关,,dali组件,
dpt,dpt,dpt,int,dali开关类型 1 默认模式，2 亮度模式,清除,311,配置类,"读, 写",网关,,dali灯组件,
ep,ep,event priority,int,,清除,312,配置类,"读, 写",网关,,"dali情景按键,dali人感传感器,dali旋钮开关组件,dali光感传感器",
st,st,short timers,int,,清除,313,配置类,"读, 写",网关,,dali情景按键,
rt,rt,repeat timers,int,,清除,314,配置类,"读, 写",网关,,"dali情景按键,dali旋钮开关组件",
dead_time,dead_time,dead_time,int,,清除,315,配置类,"读, 写",网关,,"dali人感传感器,dali光感传感器,dali旋钮开关组件",
report_timers,report_timers,report timers,int,,清除,316,配置类,"读, 写",网关,,"dali人感传感器,dali光感传感器",
hold_timers,hold_timers,hold_timers,int,,清除,317,配置类,"读, 写",网关,,dali人感传感器,
hys,hys,hysteresis,int,,清除,318,配置类,"读, 写",网关,,dali光感传感器,
hys_min,hys_min,hysteresis_min,int,,清除,319,配置类,"读, 写",网关,,dali光感传感器,
level_limit_rdy,level_limit_rdy,level_limit_rdy,int,是否支持功率限制,清除,320,配置类,"读, 写",网关,,"亮度灯,色温灯,开关灯",
dali_is_cnt,dali_is_cnt,dali_is_cnt,int,dali设备的光感组件数量,,321,配置类,"读, 写",网关,,dali组件,
dali_hds_cnt,dali_hds_cnt,dali_hds_cnt,int,dali设备的人感组件数量,,322,配置类,"读, 写",网关,,dali组件,
dali_scb_cnt,dali_scb_cnt,dali_scb_cnt,int,dali设备的按键组件数量,,323,配置类,"读, 写",网关,,dali组件,
pf,pf,,int64,功率因数,,324,应用类,"读, 写",网关,,dali能量组件,
run_speed,run_speed,,int,运行速度,,325,配置类,"读, 写",网关,,"窗帘,无线开关通道,梦幻帘",
mimac,mimac,mimac,string,小米mac地址,,326,配置类,"读, 写",网关,,米家组件,
ct_rdy,ct_rdy,ct_rdy,string,是否支持色温,,327,配置类,"读, 写",设备,,,
run_speed_rdy,run_speed_rdy,run_speed_rdy,int,是否支持运行速度,,328,配置类,读,设备,,"窗帘,无线开关通道",
sens_shield,sens_shield,,int64,识别范围,,329,配置类,"读, 写",设备,,亮度雷达传感器(可屏蔽区段),
support_fbnum,support_fbnum,support reset lock num,int,支持重置锁定的数量,,330,配置类,"读, 写",,,,
srb,srb,Switch rebound,int,开关自回弹,无需处理,331,配置类,"读, 写",设备,,虚拟开关组件（全局）,
curp,curp,Current power,int,当前功率,清除,332,应用类,读,设备,,电量组件,
iec,iec,Interval electricity consumption,int64,阶段电量，默认5分钟,清除,333,应用类,读,设备,,电量组件,
